[3, 5, 9, 7, 16, 7]
[6, 4, 4, 5, 11, 4]
[5, 10, 10, 10, 14, 9]
[6, 13, 9, 3, 12, 5]
[9, 7, 8, 7, 23, 8]
[6, 7, 4, 6, 16, 10]
[19, 11, 10, 11, 14, 17]
[4, 7, 8, 7, 19, 12]
[6, 16, 5, 7, 16, 13]
[9, 17, 6, 8, 18, 13]
[29, 5, 31, 27, 11, 16]
[20, 15, 21, 26, 19, 23]
[11, 13, 15, 7, 13, 16]
[6, 12, 11, 7, 19, 11]
[10, 11, 11, 8, 17, 5]
[13, 17, 10, 11, 26, 8]
[20, 16, 14, 14, 24, 15]
[32, 16, 27, 26, 15, 20]
[10, 19, 19, 15, 23, 12]
[7, 9, 2, 9, 26, 10]
[27, 14, 22, 26, 25, 26]
[37, 16, 21, 47, 15, 27]
[24, 11, 18, 15, 27, 10]
[24, 10, 18, 12, 27, 12]
[27, 15, 22, 18, 19, 24]
[9, 20, 11, 6, 25, 9]
[3, 0, 2, 1, 6, 2]
[5, 3, 3, 6, 5, 4]
[3, 2, 4, 3, 3, 2]
[3, 5, 5, 3, 7, 1]
[6, 5, 5, 6, 8, 6]
[4, 6, 3, 5, 9, 3]
[5, 5, 6, 2, 2, 7]
[8, 6, 6, 2, 11, 7]
[3, 6, 3, 2, 9, 5]
[3, 4, 7, 2, 3, 4]
[3, 9, 5, 7, 19, 4]
[10, 12, 3, 5, 2, 11]
[7, 3, 8, 5, 7, 3]
[5, 3, 2, 6, 8, 5]
[3, 4, 8, 4, 5, 6]
[8, 4, 6, 6, 9, 5]
[3, 1, 3, 3, 7, 3]
[8, 8, 7, 3, 13, 4]
[7, 4, 1, 6, 20, 3]
[4, 1, 4, 4, 5, 4]
[6, 2, 4, 5, 5, 3]
[5, 2, 5, 5, 7, 5]
[3, 7, 5, 5, 6, 4]
[3, 4, 5, 5, 2, 4]
[6, 5, 4, 6, 7, 6]
[6, 7, 6, 3, 6, 2]
[3, 9, 6, 5, 14, 3]
[5, 7, 3, 7, 7, 2]
[8, 8, 6, 8, 19, 8]
[7, 9, 8, 2, 9, 2]
[4, 5, 8, 1, 11, 5]
[8, 14, 9, 7, 9, 7]
[4, 6, 1, 3, 10, 8]
[5, 11, 4, 1, 8, 1]
[5, 5, 6, 8, 13, 9]
[8, 8, 4, 6, 9, 4]
[6, 5, 9, 6, 9, 3]
[5, 5, 3, 6, 11, 2]
[3, 8, 7, 8, 6, 9]
[3, 8, 7, 3, 8, 3]
[3, 2, 4, 2, 7, 0]
[4, 5, 5, 3, 13, 7]
[3, 7, 6, 3, 10, 7]
[4, 6, 8, 1, 6, 3]
[1, 8, 6, 7, 9, 4]
[3, 7, 7, 2, 7, 4]
[4, 10, 7, 5, 12, 7]
[4, 4, 5, 0, 9, 2]
[0, 8, 6, 1, 12, 6]
[5, 6, 7, 4, 10, 6]
[4, 6, 4, 2, 9, 2]
[6, 5, 7, 6, 18, 7]
[3, 4, 4, 2, 7, 10]
[8, 4, 4, 6, 9, 4]
[3, 6, 6, 4, 3, 4]
[3, 8, 5, 6, 13, 1]
[8, 8, 5, 7, 8, 3]
[6, 9, 1, 4, 3, 3]
[5, 8, 2, 1, 3, 7]
[4, 5, 3, 6, 9, 8]
[3, 7, 6, 7, 9, 3]
[6, 9, 6, 1, 7, 7]
[5, 9, 7, 4, 9, 4]
[1, 9, 10, 9, 8, 2]
[3, 7, 5, 4, 7, 5]
[6, 5, 4, 4, 24, 4]
[6, 12, 7, 5, 8, 9]
[1, 7, 5, 3, 10, 3]
[7, 2, 1, 4, 7, 3]
[10, 8, 4, 5, 15, 5]
[5, 12, 6, 6, 12, 7]
[7, 13, 8, 6, 17, 9]
[3, 6, 4, 7, 7, 3]
[2, 4, 3, 1, 7, 1]
[2, 7, 4, 3, 10, 1]
[5, 3, 7, 1, 9, 4]
[1, 2, 5, 3, 8, 4]
[4, 5, 4, 1, 5, 2]
[5, 8, 4, 4, 12, 2]
[4, 4, 7, 5, 11, 2]
[8, 4, 6, 2, 12, 9]
[4, 6, 3, 4, 15, 3]
[3, 9, 2, 6, 17, 4]
[7, 5, 6, 6, 4, 6]
[8, 2, 3, 5, 5, 2]
[1, 12, 7, 8, 18, 9]
[6, 11, 8, 9, 8, 15]
[12, 6, 4, 7, 4, 9]
[5, 10, 10, 4, 17, 8]
[11, 17, 20, 15, 26, 21]
[24, 14, 19, 21, 25, 30]
[8, 17, 11, 6, 22, 13]
[23, 14, 16, 20, 15, 25]
[22, 15, 15, 15, 16, 21]
[13, 8, 8, 20, 15, 16]
[24, 12, 19, 15, 18, 19]
[24, 4, 18, 9, 7, 22]
[11, 12, 14, 14, 19, 15]
